"table(N1,K1,V1)","table(N1,K1,V2)","table(N2,K1,V1)","table(N2,K1,V2)","owner(N1,K1)","owner(N2,K1)","transfer_msg(N1,K1,V1)","transfer_msg(N1,K1,V2)","transfer_msg(N2,K1,V1)","transfer_msg(N2,K1,V2)"
0,0,0,0,0,0,0,0,0,0
1,0,0,0,1,0,0,0,0,0
0,0,0,1,0,1,0,0,0,0
0,1,0,0,1,0,0,0,0,0
0,0,1,0,0,1,0,0,0,0
0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,1
0,0,0,0,1,0,0,0,0,0
